Year,State,value
1935,Colo.,1186.085343
1935,Conn.,1449.519808
1935,D.C.,152.7960526
1935,Del.,412.6984127
1935,Fla.,72.78363298
1935,Ga.,1.049069374
1935,Hawaii,
1935,Iowa,865.6497623
1935,Idaho,182.3284823
1935,Ill.,746.8128767
1935,Ind.,299.1296519
1935,Kan.,1399.038462
1935,Ky.,533.7336245
1935,La.,117.2800718
1935,Mass.,286.7372784
1935,Md.,133.1405437
1935,Maine,857.7751196
1935,Mich.,1600.888797
1935,Minn.,1062.01693
1935,Mo.,345.1816746
1935,Miss.,
1935,Mont.,1422.545455
1935,N.C.,323.8940716
1935,N.D.,290.4477612
1935,Neb.,639.6363636
1935,N.H.,55.09355509
1935,N.J.,792.9498164
1935,N.M,148
1935,Nev.,
1935,N.Y.,516.4336449
1935,Ohio,544.8062472
1935,Okla.,102.9337804
1935,Ore.,705.3946054
1935,Pa.,917.3419276
1935,R.I.,994.100295
1935,S.C.,46.24081402
1935,S.D.,167.2106825
1935,Tenn.,51.32237312
1935,Texas,64.06990038
1935,Utah,50.19011407
1935,Va.,727.3412698
1935,Vt.,389.3557423
1935,Wash.,525.475752
1935,Wis.,1415.407166
1935,W.Va.,605.9085842
1935,Wyo.,935.443038
1936,Alaska,
1936,Ala.,20.7801677
1936,Ark.,5.655391121
1936,Ariz.,525.5079007
1936,Calif.,773.537297
1936,Colo.,54.7706422
1936,Conn.,228.9473684
1936,D.C.,335.6120827
1936,Del.,555.9288538
1936,Fla.,18.2616596
1936,Ga.,0.268636669
1936,Hawaii,
1936,Iowa,7.971303308
1936,Idaho,262.6262626
1936,Ill.,15.38903061
1936,Ind.,21.08721625
1936,Kan.,23.16746923
1936,Ky.,79.66040462
1936,La.,57.70258237
1936,Mass.,613.7887486
1936,Md.,405.3295129
1936,Maine,891.9047619
1936,Mich.,47.70914297
1936,Minn.,283.0285296
1936,Mo.,17.35069718
1936,Miss.,
1936,Mont.,81.58844765
1936,N.C.,40.25702331
1936,N.D.,16.56626506
1936,Neb.,86.34020619
1936,N.H.,185.3430353
1936,N.J.,215.0587659
1936,N.M,234.9693252
1936,Nev.,
1936,N.Y.,477.453453
