freq,nrg_bal,unit,geo\TIME_PERIOD	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,REN_ELC,PC,DK	23.754 	24.647 	23.966 	25.001 	25.936 	28.257 	32.735 	35.874 	38.716 	43.084 	48.493 	51.292 	53.717 	59.94 	62.394 	65.347 	65.323 	72.916 	77.22 
A,REN_ELC,PC,EE	0.546 	1.127 	1.428 	1.432 	1.972 	5.966 	10.294 	12.199 	15.67 	12.948 	14.017 	16.152 	16.194 	17.583 	19.679 	21.998 	28.293 	29.188 	29.108 
A,REN_ELC,PC,EL	7.842 	8.213 	8.924 	9.33 	9.646 	11.016 	12.307 	13.81 	16.364 	21.241 	21.923 	22.089 	22.657 	24.464 	26.001 	31.295 	35.856 	35.934 	42.408 
A,REN_ELC,PC,ES	19.018 	19.166 	20.027 	21.718 	23.777 	27.882 	29.748 	31.53 	33.438 	36.027 	37.128 	36.972 	36.676 	36.465 	35.236 	37.131 	42.944 	46.001 	50.902 
A,REN_ELC,PC,EU27_2020	15.871 	16.402 	16.879 	17.647 	18.526 	20.654 	21.283 	23.3 	25.138 	26.769 	28.601 	29.655 	30.172 	31.104 	32.134 	34.086 	37.408 	37.754 	41.174 
A,REN_ELC,PC,FI	26.711 	26.918 	26.42 	25.468 	26.745 	26.821 	27.216 	28.964 	29.11 	30.543 	31.114 	32.207 	32.716 	35.044 	36.539 	37.969 	39.564 	39.583 	47.925 
A,REN_ELC,PC,FR	13.782 	13.738 	14.058 	14.289 	14.358 	15.088 	14.815 	16.179 	16.548 	16.977 	18.465 	18.821 	19.209 	19.933 	21.131 	22.389 	24.819 	24.775 	27.323 
A,REN_ELC,PC,HR	35.027 	35.184 	34.818 	33.976 	33.865 	35.877 	37.52 	37.592 	38.764 	42.077 	45.241 	45.409 	46.667 	46.437 	48.139 	49.783 	53.816 	53.471 	55.518 
A,REN_ELC,PC,HU	2.22 	4.419 	3.453 	4.193 	5.317 	6.958 	7.103 	6.379 	6.057 	6.6 	7.305 	7.341 	7.292 	7.513 	8.306 	9.969 	11.904 	13.66 	15.342 
A,REN_ELC,PC,IE	6.031 	7.196 	8.505 	9.534 	10.822 	14.061 	15.642 	18.252 	19.838 	20.96 	23.32 	25.725 	27.069 	30.318 	33.317 	36.46 	39.055 	36.375 	36.776 
A,REN_ELC,PC,IS	93.148 	94.928 	93.497 	113.7 	90.847 	92.861 	92.419 	93.915 	95.422 	96.719 	97.063 	93.11 	95.31 	93.376 	98.497 	100.64 	102.709 	99.536 	99.193 
A,REN_ELC,PC,IT	16.086 	16.293 	15.926 	15.954 	16.645 	18.807 	20.091 	23.546 	27.42 	31.302 	33.42 	33.459 	34.012 	34.104 	33.93 	34.969 	38.081 	35.996 	37.102 
A,REN_ELC,PC,LT	3.587 	3.831 	4.016 	4.652 	4.914 	5.869 	7.401 	9.02 	10.876 	13.149 	13.705 	15.543 	16.872 	18.255 	18.408 	18.79 	20.166 	21.278 	26.461 
A,REN_ELC,PC,LU	2.765 	3.179 	3.172 	3.305 	3.581 	4.105 	3.786 	4.075 	4.66 	5.329 	5.958 	6.197 	6.674 	8.055 	9.115 	10.863 	13.887 	14.216 	15.936 
A,REN_ELC,PC,LV	45.958 	43.023 	40.414 	38.622 	38.733 	41.942 	42.051 	44.694 	44.877 	48.685 	51.037 	52.205 	51.251 	54.352 	53.499 	53.423 	53.357 	51.399 	53.305 
A,REN_ELC,PC,ME	: 	39.102 	37.679 	37.622 	38.258 	46.615 	45.74 	41.583 	42.765 	49.067 	51.444 	49.613 	50.961 	50.111 	52.419 	53.647 	61.49 	60.462 	63.213 
