"reg";"dep";"depcom";"dciris";"an";"typequ";"nb_equip"
"267";"84";"01";"01333";"01333";"2016";"A504";4
"268";"84";"01";"01335";"01335";"2016";"A504";2
"269";"84";"01";"01336";"01336";"2016";"A504";2
"270";"84";"01";"01337";"01337";"2016";"A504";1
"271";"84";"01";"01338";"01338";"2016";"A504";4
"272";"84";"01";"01339";"01339";"2016";"A504";3
"273";"84";"01";"01342";"01342";"2016";"A504";2
"274";"84";"01";"01343";"01343";"2016";"A504";2
"275";"84";"01";"01344";"01344";"2016";"A504";7
"276";"84";"01";"01345";"01345";"2016";"A504";5
"277";"84";"01";"01347";"01347";"2016";"A504";1
"278";"84";"01";"01348";"01348";"2016";"A504";6
"279";"84";"01";"01350";"01350";"2016";"A504";6
"280";"84";"01";"01351";"01351";"2016";"A504";2
"281";"84";"01";"01352";"01352";"2016";"A504";1
"282";"84";"01";"01353";"01353";"2016";"A504";4
"283";"84";"01";"01354";"01354_0000";"2016";"A504";7
"284";"84";"01";"01354";"01354_0101";"2016";"A504";3
"285";"84";"01";"01354";"01354_0102";"2016";"A504";8
"286";"84";"01";"01354";"01354_0103";"2016";"A504";8
"287";"84";"01";"01360";"01360";"2016";"A504";3
"288";"84";"01";"01361";"01361";"2016";"A504";1
"289";"84";"01";"01362";"01362";"2016";"A504";1
"290";"84";"01";"01363";"01363";"2016";"A504";5
"291";"84";"01";"01365";"01365";"2016";"A504";3
"292";"84";"01";"01366";"01366";"2016";"A504";2
"293";"84";"01";"01367";"01367";"2016";"A504";1
"294";"84";"01";"01369";"01369";"2016";"A504";1
"295";"84";"01";"01370";"01370";"2016";"A504";15
"296";"84";"01";"01371";"01371";"2016";"A504";1
"297";"84";"01";"01373";"01373";"2016";"A504";3
"298";"84";"01";"01374";"01374";"2016";"A504";1
"299";"84";"01";"01376";"01376";"2016";"A504";11
"300";"84";"01";"01378";"01378";"2016";"A504";3
"301";"84";"01";"01379";"01379";"2016";"A504";3
"302";"84";"01";"01380";"01380";"2016";"A504";1
"303";"84";"01";"01381";"01381";"2016";"A504";3
"304";"84";"01";"01382";"01382";"2016";"A504";1
"305";"84";"01";"01383";"01383";"2016";"A504";4
"306";"84";"01";"01384";"01384";"2016";"A504";5
"307";"84";"01";"01385";"01385";"2016";"A504";1
"308";"84";"01";"01386";"01386";"2016";"A504";1
"309";"84";"01";"01388";"01388";"2016";"A504";2
"310";"84";"01";"01389";"01389";"2016";"A504";3
"311";"84";"01";"01390";"01390";"2016";"A504";8
"312";"84";"01";"01391";"01391";"2016";"A504";3
"313";"84";"01";"01392";"01392";"2016";"A504";1
"314";"84";"01";"01393";"01393";"2016";"A504";1
"315";"84";"01";"01396";"01396";"2016";"A504";3
"316";"84";"01";"01397";"01397";"2016";"A504";1
"317";"84";"01";"01398";"01398";"2016";"A504";2
"318";"84";"01";"01399";"01399";"2016";"A504";9
"319";"84";"01";"01400";"01400";"2016";"A504";1
"320";"84";"01";"01403";"01403";"2016";"A504";5
"321";"84";"01";"01404";"01404";"2016";"A504";2
"322";"84";"01";"01405";"01405";"2016";"A504";4
"323";"84";"01";"01407";"01407";"2016";"A504";5
"324";"84";"01";"01408";"01408";"2016";"A504";1
"325";"84";"01";"01411";"01411";"2016";"A504";1
"326";"84";"01";"01412";"01412";"2016";"A504";3
"327";"84";"01";"01413";"01413";"2016";"A504";1
"328";"84";"01";"01415";"01415";"2016";"A504";1
"329";"84";"01";"01416";"01416";"2016";"A504";1
"330";"84";"01";"01417";"01417";"2016";"A504";1
"331";"84";"01";"01418";"01418";"2016";"A504";1
"332";"84";"01";"01419";"01419";"2016";"A504";10
"333";"84";"01";"01420";"01420";"2016";"A504";12
"334";"84";"01";"01422";"01422";"2016";"A504";6
"335";"84";"01";"01424";"01424";"2016";"A504";1
"336";"84";"01";"01426";"01426";"2016";"A504";9
"337";"84";"01";"01427";"01427_0101";"2016";"A504";3
"338";"84";"01";"01427";"01427_0102";"2016";"A504";15
"339";"84";"01";"01429";"01429";"2016";"A504";1
"340";"84";"01";"01433";"01433";"2016";"A504";2
"341";"84";"01";"01434";"01434";"2016";"A504";1
"342";"84";"01";"01435";"01435";"2016";"A504";2
"343";"84";"01";"01437";"01437";"2016";"A504";2
"344";"84";"01";"01439";"01439";"2016";"A504";1
"345";"84";"01";"01441";"01441";"2016";"A504";1
"346";"84";"01";"01443";"01443";"2016";"A504";17
"347";"84";"01";"01444";"01444";"2016";"A504";3
"348";"84";"01";"01445";"01445";"2016";"A504";1
"349";"84";"01";"01446";"01446";"2016";"A504";4
"350";"84";"01";"01447";"01447";"2016";"A504";1
"351";"84";"01";"01448";"01448";"2016";"A504";1
"352";"84";"01";"01449";"01449";"2016";"A504";1
"353";"84";"01";"01450";"01450";"2016";"A504";3
"354";"84";"01";"01451";"01451_0101";"2016";"A504";5
"355";"84";"01";"01451";"01451_0102";"2016";"A504";18
"356";"84";"01";"01452";"01452";"2016";"A504";2
"357";"84";"01";"01453";"01453";"2016";"A504";1
"358";"84";"01";"01454";"01454";"2016";"A504";3
"359";"84";"01";"01457";"01457";"2016";"A504";10
"360";"32";"02";"02002";"02002";"2016";"A504";2
"361";"32";"02";"02009";"02009";"2016";"A504";1
"362";"32";"02";"02011";"02011";"2016";"A504";1
"363";"32";"02";"02014";"02014";"2016";"A504";1
"364";"32";"02";"02018";"02018";"2016";"A504";6
"365";"32";"02";"02020";"02020";"2016";"A504";1
"366";"32";"02";"02028";"02028";"2016";"A504";5
"367";"32";"02";"02031";"02031";"2016";"A504";1
"368";"32";"02";"02032";"02032";"2016";"A504";1
"369";"32";"02";"02036";"02036";"2016";"A504";1
"370";"32";"02";"02037";"02037";"2016";"A504";1
"371";"32";"02";"02042";"02042";"2016";"A504";1
"372";"32";"02";"02058";"02058";"2016";"A504";1
"373";"32";"02";"02059";"02059";"2016";"A504";3
"374";"32";"02";"02060";"02060";"2016";"A504";1
"375";"32";"02";"02064";"02064";"2016";"A504";4
"376";"32";"02";"02065";"02065";"2016";"A504";2
"377";"32";"02";"02067";"02067";"2016";"A504";1
"378";"32";"02";"02071";"02071";"2016";"A504";3
"379";"32";"02";"02073";"02073";"2016";"A504";2
"380";"32";"02";"02075";"02075";"2016";"A504";1
"381";"32";"02";"02080";"02080";"2016";"A504";1
"382";"32";"02";"02083";"02083";"2016";"A504";1
"383";"32";"02";"02085";"02085";"2016";"A504";2
"384";"32";"02";"02093";"02093";"2016";"A504";2
"385";"32";"02";"02095";"02095";"2016";"A504";19
"386";"32";"02";"02100";"02100";"2016";"A504";1
"387";"32";"02";"02102";"02102";"2016";"A504";1
"388";"32";"02";"02103";"02103";"2016";"A504";4
"389";"32";"02";"02106";"02106";"2016";"A504";4
"390";"32";"02";"02110";"02110";"2016";"A504";4
"391";"32";"02";"02111";"02111";"2016";"A504";1
"392";"32";"02";"02114";"02114";"2016";"A504";2
"393";"32";"02";"02119";"02119";"2016";"A504";2
"394";"32";"02";"02121";"02121";"2016";"A504";1
"395";"32";"02";"02123";"02123";"2016";"A504";2
"396";"32";"02";"02124";"02124";"2016";"A504";1
"397";"32";"02";"02127";"02127";"2016";"A504";1
"398";"32";"02";"02128";"02128";"2016";"A504";3
"399";"32";"02";"02131";"02131";"2016";"A504";1
"400";"32";"02";"02133";"02133";"2016";"A504";1
"401";"32";"02";"02135";"02135";"2016";"A504";3
"402";"32";"02";"02136";"02136";"2016";"A504";1
"403";"32";"02";"02141";"02141";"2016";"A504";9
"404";"32";"02";"02143";"02143";"2016";"A504";1
"405";"32";"02";"02146";"02146";"2016";"A504";1
"406";"32";"02";"02150";"02150";"2016";"A504";1
"407";"32";"02";"02153";"02153";"2016";"A504";2
"408";"32";"02";"02157";"02157";"2016";"A504";6
"409";"32";"02";"02158";"02158";"2016";"A504";1
"410";"32";"02";"02163";"02163";"2016";"A504";10
"411";"32";"02";"02165";"02165";"2016";"A504";3
"412";"32";"02";"02168";"02168_0101";"2016";"A504";28
"413";"32";"02";"02168";"02168_0201";"2016";"A504";1
"414";"32";"02";"02168";"02168_0301";"2016";"A504";7
"415";"32";"02";"02168";"02168_0401";"2016";"A504";5
"416";"32";"02";"02168";"02168_0501";"2016";"A504";1
"417";"32";"02";"02168";"02168_0701";"2016";"A504";1
"418";"32";"02";"02173";"02173_0101";"2016";"A504";4
"419";"32";"02";"02173";"02173_0201";"2016";"A504";32
"420";"32";"02";"02173";"02173_0301";"2016";"A504";4
"421";"32";"02";"02177";"02177";"2016";"A504";1
"422";"32";"02";"02186";"02186";"2016";"A504";1
"423";"32";"02";"02187";"02187";"2016";"A504";2
"424";"32";"02";"02195";"02195";"2016";"A504";1
"425";"32";"02";"02197";"02197";"2016";"A504";1
"426";"32";"02";"02203";"02203";"2016";"A504";2
"427";"32";"02";"02209";"02209";"2016";"A504";2
"428";"32";"02";"02212";"02212";"2016";"A504";2
"429";"32";"02";"02215";"02215";"2016";"A504";1
"430";"32";"02";"02217";"02217";"2016";"A504";2
"431";"32";"02";"02218";"02218";"2016";"A504";1
"432";"32";"02";"02220";"02220";"2016";"A504";1
"433";"32";"02";"02224";"02224";"2016";"A504";2
"434";"32";"02";"02226";"02226";"2016";"A504";2
"435";"32";"02";"02231";"02231";"2016";"A504";1
"436";"32";"02";"02235";"02235";"2016";"A504";1
"437";"32";"02";"02236";"02236";"2016";"A504";1
"438";"32";"02";"02237";"02237";"2016";"A504";5
"439";"32";"02";"02238";"02238";"2016";"A504";2
"440";"32";"02";"02239";"02239";"2016";"A504";2
"441";"32";"02";"02243";"02243";"2016";"A504";2
"442";"32";"02";"02244";"02244";"2016";"A504";2
"443";"32";"02";"02245";"02245";"2016";"A504";1
"444";"32";"02";"02260";"02260";"2016";"A504";1
"445";"32";"02";"02264";"02264";"2016";"A504";1
"446";"32";"02";"02267";"02267";"2016";"A504";1
"447";"32";"02";"02268";"02268";"2016";"A504";2
"448";"32";"02";"02281";"02281";"2016";"A504";1
"449";"32";"02";"02287";"02287";"2016";"A504";1
"450";"32";"02";"02290";"02290";"2016";"A504";3
"451";"32";"02";"02291";"02291";"2016";"A504";1
"452";"32";"02";"02292";"02292";"2016";"A504";2
"453";"32";"02";"02294";"02294";"2016";"A504";1
"454";"32";"02";"02295";"02295";"2016";"A504";4
"455";"32";"02";"02298";"02298";"2016";"A504";1
"456";"32";"02";"02303";"02303";"2016";"A504";6
"457";"32";"02";"02304";"02304";"2016";"A504";11
"458";"32";"02";"02305";"02305";"2016";"A504";10
"459";"32";"02";"02307";"02307";"2016";"A504";3
"460";"32";"02";"02309";"02309";"2016";"A504";3
"461";"32";"02";"02312";"02312";"2016";"A504";1
"462";"32";"02";"02315";"02315";"2016";"A504";3
"463";"32";"02";"02318";"02318";"2016";"A504";1
"464";"32";"02";"02321";"02321";"2016";"A504";4
"465";"32";"02";"02326";"02326";"2016";"A504";1
"466";"32";"02";"02328";"02328";"2016";"A504";2
"467";"32";"02";"02334";"02334";"2016";"A504";5
"468";"32";"02";"02335";"02335";"2016";"A504";1
"469";"32";"02";"02340";"02340_0101";"2016";"A504";7
"470";"32";"02";"02340";"02340_0201";"2016";"A504";2
"471";"32";"02";"02340";"02340_0301";"2016";"A504";1
"472";"32";"02";"02341";"02341";"2016";"A504";1
"473";"32";"02";"02352";"02352";"2016";"A504";1
"474";"32";"02";"02360";"02360";"2016";"A504";4
"475";"32";"02";"02361";"02361";"2016";"A504";15
"476";"32";"02";"02363";"02363";"2016";"A504";1
"477";"32";"02";"02370";"02370";"2016";"A504";2
"478";"32";"02";"02371";"02371";"2016";"A504";1
"479";"32";"02";"02372";"02372";"2016";"A504";1
"480";"32";"02";"02381";"02381_0000";"2016";"A504";1
"481";"32";"02";"02381";"02381_0101";"2016";"A504";9
"482";"32";"02";"02381";"02381_0201";"2016";"A504";2
"483";"32";"02";"02381";"02381_0301";"2016";"A504";2
"484";"32";"02";"02381";"02381_0401";"2016";"A504";3
"485";"32";"02";"02382";"02382";"2016";"A504";1
"486";"32";"02";"02383";"02383";"2016";"A504";2
"487";"32";"02";"02389";"02389";"2016";"A504";1
"488";"32";"02";"02397";"02397";"2016";"A504";1
"489";"32";"02";"02399";"02399";"2016";"A504";1
"490";"32";"02";"02401";"02401";"2016";"A504";1
"491";"32";"02";"02408";"02408_0101";"2016";"A504";11
"492";"32";"02";"02408";"02408_0201";"2016";"A504";3
"493";"32";"02";"02408";"02408_0301";"2016";"A504";21
"494";"32";"02";"02408";"02408_0401";"2016";"A504";1
"495";"32";"02";"02408";"02408_0402";"2016";"A504";2
"496";"32";"02";"02408";"02408_0501";"2016";"A504";33
"497";"32";"02";"02408";"02408_0601";"2016";"A504";6
"498";"32";"02";"02408";"02408_0701";"2016";"A504";5
"499";"32";"02";"02408";"02408_0801";"2016";"A504";2
"500";"32";"02";"02408";"02408_0901";"2016";"A504";2
"501";"32";"02";"02411";"02411";"2016";"A504";1
"502";"32";"02";"02419";"02419";"2016";"A504";1
"503";"32";"02";"02430";"02430";"2016";"A504";2
